filename,filepath,label
0-Atlantic Spotted Dolphin-最佳削减-001,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\0-Atlantic Spotted Dolphin-最佳削减-001.npy,24
0-Atlantic Spotted Dolphin-最佳削减-002,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\0-Atlantic Spotted Dolphin-最佳削减-002.npy,24
0-Atlantic Spotted Dolphin-最佳削减-003,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\0-Atlantic Spotted Dolphin-最佳削减-003.npy,24
0-Atlantic Spotted Dolphin-最佳削减-004,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\0-Atlantic Spotted Dolphin-最佳削减-004.npy,24
0-Atlantic Spotted Dolphin-最佳削减001,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\0-Atlantic Spotted Dolphin-最佳削减001.npy,24
0-Atlantic Spotted Dolphin-最佳削减002,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\0-Atlantic Spotted Dolphin-最佳削减002.npy,24
0-Atlantic Spotted Dolphin-最佳削减003,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\0-Atlantic Spotted Dolphin-最佳削减003.npy,24
0-Atlantic Spotted Dolphin-最佳削减004,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\0-Atlantic Spotted Dolphin-最佳削减004.npy,24
1-Bearded Seal-66038-001,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-66038-001.npy,31
1-Bearded Seal-66038-002,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-66038-002.npy,31
1-Bearded Seal-66038-003,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-66038-003.npy,31
1-Bearded Seal-66038-004,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-66038-004.npy,31
1-Bearded Seal-66038001,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-66038001.npy,31
1-Bearded Seal-66038002,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-66038002.npy,31
1-Bearded Seal-66038003,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-66038003.npy,31
1-Bearded Seal-66038004,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-66038004.npy,31
1-Bearded Seal-最佳削减-001,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-最佳削减-001.npy,31
1-Bearded Seal-最佳削减-002,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-最佳削减-002.npy,31
1-Bearded Seal-最佳削减-003,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-最佳削减-003.npy,31
1-Bearded Seal-最佳削减001,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-最佳削减001.npy,31
1-Bearded Seal-最佳削减002,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-最佳削减002.npy,31
1-Bearded Seal-最佳削减003,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\1-Bearded Seal-最佳削减003.npy,31
"10-Grampus, Risso's Dolphin-59029-001","D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\10-Grampus, Risso's Dolphin-59029-001.npy",20
"10-Grampus, Risso's Dolphin-59029-002","D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\10-Grampus, Risso's Dolphin-59029-002.npy",20
"10-Grampus, Risso's Dolphin-59029-003","D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\10-Grampus, Risso's Dolphin-59029-003.npy",20
"10-Grampus, Risso's Dolphin-59029-007","D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\10-Grampus, Risso's Dolphin-59029-007.npy",20
"10-Grampus, Risso's Dolphin-59029001","D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\10-Grampus, Risso's Dolphin-59029001.npy",20
"10-Grampus, Risso's Dolphin-59029002","D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\10-Grampus, Risso's Dolphin-59029002.npy",20
"10-Grampus, Risso's Dolphin-59029003","D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\10-Grampus, Risso's Dolphin-59029003.npy",20
"10-Grampus, Risso's Dolphin-59029007","D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\10-Grampus, Risso's Dolphin-59029007.npy",20
10-Grampus-59029001,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\10-Grampus-59029001.npy,20
10-Grampus-59029002,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\10-Grampus-59029002.npy,20
10-Grampus-59029003,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\10-Grampus-59029003.npy,20
10-Grampus-59029007,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\10-Grampus-59029007.npy,20
11-Harp Seal-67009-001,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\11-Harp Seal-67009-001.npy,1
11-Harp Seal-67009-002,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\11-Harp Seal-67009-002.npy,1
11-Harp Seal-67009-003,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\11-Harp Seal-67009-003.npy,1
11-Harp Seal-67009-004,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\11-Harp Seal-67009-004.npy,1
11-Harp Seal-67009001,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\11-Harp Seal-67009001.npy,1
11-Harp Seal-67009002,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\11-Harp Seal-67009002.npy,1
11-Harp Seal-67009003,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\11-Harp Seal-67009003.npy,1
11-Harp Seal-67009004,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\11-Harp Seal-67009004.npy,1
12-Humpback Whale-55113-001,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\12-Humpback Whale-55113-001.npy,28
12-Humpback Whale-55113-002,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\12-Humpback Whale-55113-002.npy,28
12-Humpback Whale-55113-003,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\12-Humpback Whale-55113-003.npy,28
12-Humpback Whale-55113-004,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\12-Humpback Whale-55113-004.npy,28
12-Humpback Whale-55113001,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\12-Humpback Whale-55113001.npy,28
12-Humpback Whale-55113002,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\12-Humpback Whale-55113002.npy,28
12-Humpback Whale-55113003,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\12-Humpback Whale-55113003.npy,28
13-Killer Whale-60026-001,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\13-Killer Whale-60026-001.npy,3
13-Killer Whale-60026-002,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\13-Killer Whale-60026-002.npy,3
13-Killer Whale-60026-003,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\13-Killer Whale-60026-003.npy,3
13-Killer Whale-60026-004,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\13-Killer Whale-60026-004.npy,3
13-Killer Whale-60026001,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\13-Killer Whale-60026001.npy,3
13-Killer Whale-60026002,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\13-Killer Whale-60026002.npy,3
13-Killer Whale-60026003,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\13-Killer Whale-60026003.npy,3
13-Killer Whale-60026004,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\13-Killer Whale-60026004.npy,3
14-Leopard Seal-66084-00I,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\14-Leopard Seal-66084-00I.npy,27
14-Leopard Seal-66084-00J,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\14-Leopard Seal-66084-00J.npy,27
14-Leopard Seal-66084-00N,D:\音频分类\Pytorch-AudioClassification-master-main\data\scatter\npy_data\14-Leopard Seal-66084-00N.npy,27
